Age,Dribbling / Reflexes,Passing / Kicking,Shooting / Handling,International reputation,Total mentality,Shot power,Total power,Ball control,Finishing,Log Market Value
31,81,74,66,4,383,71,374,81,65,17.974393641323946
27,92,85,78,2,384,79,355,91,78,18.385053566309214
25,87,86,69,3,374,68,373,89,72,18.57340183097003
24,84,68,80,1,316,79,346,80,85,16.785925023533974
25,85,77,79,2,368,83,387,84,77,17.588271496058912
22,84,71,80,2,325,81,378,86,82,17.45309671769066
24,86,76,81,3,322,86,378,82,80,17.86729550576758
21,73,69,39,2,320,60,313,80,37,17.785802471516394
24,86,81,76,3,339,79,342,86,74,17.64415195445337
21,81,74,70,1,345,74,364,82,71,16.972510979114386
19,83,69,72,1,319,82,348,80,69,16.300417207752275
20,71,69,59,1,318,72,352,75,57,16.25785759333348
18,77,64,65,1,288,58,285,74,71,15.29711509888849
19,73,65,47,1,304,47,284,73,47,15.955576721460545
22,61,59,37,1,304,62,318,63,29,15.404745763080856
17,80,57,59,1,229,56,284,78,68,15.201804919084164
16,73,66,65,1,311,73,289,71,61,14.73180128983843
23,79,89,69,3,374,82,378,84,62,18.03501826314038
22,86,80,77,1,137,60,219,30,6,17.43985149094064
21,83,71,74,1,343,78,376,81,76,17.26549810379586
21,83,73,73,1,342,75,332,80,72,16.972510979114386
21,66,60,32,1,283,52,307,69,26,16.556350581889475
23,72,64,49,1,312,60,341,75,46,15.89495209964411
20,72,64,39,1,298,50,309,73,40,17.281246460764002
20,65,61,47,1,315,56,324,67,43,16.556350581889475
19,82,71,73,1,279,75,351,80,75,17.23323724157764
21,76,69,66,1,318,78,358,76,60,16.300417207752275
17,65,54,33,1,254,53,319,66,18,14.22097566607244
19,81,74,66,1,321,74,340,82,61,15.761420707019587
28,83,83,91,4,395,92,423,86,93,18.474221510880394
27,81,89,86,3,417,88,407,85,83,18.258161814454592
25,86,86,81,1,360,83,348,88,80,17.73748389424559
25,78,75,77,3,366,82,367,84,75,16.454567887579532
25,87,81,77,3,325,83,336,87,75,17.840862248699423
24,66,60,40,2,280,56,341,66,33,17.81371125963347
21,75,72,68,1,293,74,335,76,67,16.06680235657077
21,70,67,54,1,313,57,327,72,54,15.687312734865866
21,85,71,75,1,331,77,338,83,81,17.776323727561852
20,80,61,64,1,259,68,336,86,65,15.687312734865866
20,56,63,38,1,256,34,289,70,43,15.176487111099874
20,77,76,63,1,358,72,361,79,52,16.951004773893423
16,72,58,61,1,252,64,278,70,62,14.648419680899378
18,56,41,26,1,238,40,271,66,20,15.226497531674536
33,83,78,79,3,368,84,376,85,78,16.588099280204055
29,84,80,89,4,346,88,389,82,91,18.309749183245085
26,82,82,78,1,148,62,222,40,19,16.811242831518264
27,82,74,77,2,312,80,356,81,76,16.733281290048552
26,83,86,81,3,149,65,276,38,12,17.341871082580436
24,80,71,78,2,326,83,393,80,79,17.23323724157764
23,76,75,65,1,377,78,386,79,61,17.7667542765457
22,68,62,60,3,295,84,412,73,50,18.078190435005588
24,82,77,66,2,350,68,353,84,69,17.466168799258014
22,77,74,76,1,360,79,372,79,77,17.16541464523888
24,79,78,59,2,368,73,390,79,52,17.717483227538917
23,84,71,73,1,347,72,353,81,74,17.14771506813948
21,60,67,47,2,309,70,343,67,38,17.09265529095645
21,77,70,53,1,312,62,300,78,51,16.588099280204055
21,64,55,37,1,300,48,310,67,29,17.312018119430753
21,81,73,59,1,319,65,318,77,58,16.489659207390805
26,71,71,65,1,344,79,381,78,61,17.23323724157764
20,76,77,69,1,339,75,340,77,68,16.34123920227253
20,75,54,74,1,295,80,355,76,77,16.34123920227253
19,75,74,70,1,322,74,348,77,66,16.012735135300492
19,73,60,74,1,290,79,388,76,75,16.012735135300492
19,71,69,67,1,340,69,344,73,67,15.150511624696614
19,77,69,69,1,289,74,329,77,64,15.761420707019587
26,84,67,65,1,296,79,390,80,64,16.25785759333348
23,74,66,78,2,300,81,386,79,80,16.929025867174648
23,84,73,71,3,295,76,337,83,73,17.216707939626428
26,73,70,63,3,344,68,393,76,67,17.1296965626368
22,71,65,44,1,325,65,326,72,35,17.073607095985757
23,78,76,61,2,359,79,391,78,52,17.24949776244942
25,86,79,71,1,354,79,338,86,68,16.951004773893423
22,73,72,54,2,349,67,369,77,47,17.24949776244942
22,81,72,74,2,371,79,377,85,75,17.24949776244942
24,75,64,79,1,307,78,401,77,83,17.111347423968603
19,77,73,75,1,313,78,384,79,75,16.61887093887081
22,83,80,77,2,349,76,381,85,77,17.49181122987135
23,75,73,65,1,353,61,355,79,67,17.054189010128656
19,81,70,68,1,320,73,327,77,65,16.300417207752275
22,87,74,76,3,350,75,356,88,76,17.541203985200926
20,58,55,32,1,260,41,298,62,30,15.60727002719233
19,62,49,66,1,255,70,334,64,69,14.508657738524219
19,79,76,73,1,286,68,274,80,79,17.45309671769066
20,76,70,59,1,310,72,294,76,58,16.34123920227253
35,74,74,83,3,372,86,390,86,87,16.556350581889475
30,90,75,89,4,122,56,249,23,14,18.31532022829454
26,80,82,57,2,364,78,373,84,46,17.312018119430753
28,85,85,80,3,393,86,353,88,75,17.553180176247643
36,88,89,76,4,393,79,369,90,72,17.182806387950748
31,78,85,65,2,384,82,383,83,54,17.23323724157764
33,79,79,62,4,382,61,326,85,67,17.09265529095645
29,77,74,84,4,346,87,398,78,86,17.553180176247643
29,67,71,53,2,325,77,389,72,40,17.858561825798823
25,77,86,75,2,385,86,381,82,66,17.588271496058912
26,83,83,76,2,393,79,389,87,75,17.622173047734595
25,80,81,73,1,357,77,357,82,73,16.951004773893423
26,75,70,65,1,363,79,400,78,62,17.341871082580436
23,72,62,44,3,312,64,346,75,39,17.665658159674333
23,71,67,33,1,314,42,299,75,29,17.014183675514957
25,59,54,26,1,241,40,304,72,19,17.516812532076766
22,76,58,76,2,295,84,393,75,77,17.281246460764002
24,83,73,75,2,338,75,350,85,79,17.182806387950748
25,87,75,80,1,316,84,392,87,80,17.73748389424559
22,83,79,79,1,330,79,372,84,80,17.7073308560749
22,78,75,58,1,330,68,342,81,53,16.166885815127753
21,76,66,44,1,300,48,246,71,47,16.213405830762646
22,67,55,33,2,272,46,301,68,29,16.556350581889475
21,80,72,75,1,346,78,385,78,77,16.34123920227253
20,63,55,37,1,277,57,311,65,32,15.60727002719233
23,72,54,77,2,256,80,387,75,79,16.588099280204055
18,70,64,59,1,299,56,263,72,66,14.28551418721001
17,76,59,60,1,228,67,249,75,58,14.648419680899378
17,65,50,67,1,239,66,316,65,72,14.403297222866392
19,73,61,64,1,230,66,320,73,67,15.226497531674536
22,68,61,34,1,292,46,298,70,29,16.166885815127753
20,76,70,73,1,99,53,214,27,7,15.89495209964411
23,61,45,32,2,281,45,299,75,27,17.312018119430753
23,70,65,54,2,335,74,340,74,57,17.312018119430753
20,74,60,76,1,274,75,338,75,80,16.34123920227253
22,72,66,58,2,325,75,371,72,51,17.565014633894645
19,72,70,70,1,275,72,340,75,70,14.914122846632385
24,74,58,79,1,302,82,381,75,83,17.23323724157764
23,82,74,71,1,372,77,358,82,71,17.37085861945369
22,85,79,68,1,373,69,334,85,66,17.327055996795295
20,80,66,69,1,270,70,336,79,72,16.06680235657077
19,69,65,46,1,307,53,274,69,46,15.687312734865866
18,77,72,49,1,243,49,278,79,48,15.123843377614453
20,77,69,63,1,289,66,317,76,64,16.523560759066484
19,73,68,49,1,321,60,322,73,44,16.25785759333348
20,72,72,59,1,337,69,351,75,54,16.556350581889475
20,72,58,64,1,261,65,330,70,68,15.226497531674536
20,75,71,59,1,306,69,321,76,49,15.27412558066379
17,50,54,36,1,248,73,293,55,26,14.151982794585487
16,67,54,57,1,220,59,256,65,59,14.22097566607244
21,67,54,64,1,247,61,311,64,66,14.457364444136669
19,69,73,59,1,279,56,298,72,58,15.096444403426338
17,69,58,42,1,276,50,270,68,39,14.77102200299171
17,63,55,56,1,230,54,251,61,62,13.815510557964274
17,71,64,49,1,298,51,281,74,50,15.009433026436708
36,70,73,69,4,404,79,371,78,65,15.830413578506539
31,85,84,80,3,394,79,367,90,80,17.599700191882537
33,82,82,70,3,375,64,354,84,73,17.14771506813948
29,73,82,74,3,388,90,366,83,67,17.073607095985757
26,88,83,76,3,340,76,356,89,76,17.64415195445337
27,83,76,79,1,296,80,373,82,80,16.929025867174648
27,83,82,82,4,396,85,423,85,82,18.09217667698033
28,90,85,85,3,345,84,380,93,83,18.05683731053502
27,82,79,79,3,390,84,397,84,80,17.622173047734595
28,78,77,72,1,362,76,376,82,70,16.67771143889374
23,89,79,82,3,154,59,255,30,12,18.455082170669698
24,74,70,29,1,299,50,309,77,22,17.14771506813948
22,87,80,70,3,300,63,279,86,76,17.610999747136468
21,84,78,66,3,367,74,371,84,64,17.91815392300107
24,69,67,57,2,353,70,365,71,57,17.1296965626368
23,78,78,69,1,389,75,382,80,66,17.26549810379586
22,81,73,72,1,367,75,359,80,74,16.929025867174648
21,78,74,70,1,344,70,327,78,71,16.64872390202049
32,81,90,81,4,378,89,354,88,77,18.09217667698033
31,75,72,81,4,342,86,388,80,79,15.687312734865866
27,72,71,53,3,327,64,358,76,48,16.860032995687696
28,88,86,78,3,348,79,342,89,77,17.312018119430753
29,81,82,71,2,370,86,410,84,66,17.64415195445337
26,89,87,82,2,155,65,276,40,15,18.132998671500584
26,83,81,81,3,312,88,371,87,78,17.49181122987135
26,82,81,78,1,396,84,407,85,79,17.665658159674333
26,71,73,62,3,334,80,396,75,49,17.327055996795295
24,74,65,50,2,326,70,321,70,44,16.90655301132259
24,83,77,77,2,356,81,367,82,72,17.034386382832476
24,78,66,78,2,330,80,385,82,80,17.43985149094064
26,83,71,81,3,310,82,389,84,82,17.588271496058912
24,75,73,66,2,367,81,397,75,61,17.385043254445645
25,74,62,79,2,320,82,411,79,81,17.16541464523888
26,68,56,70,1,250,68,352,71,72,14.346138809026444
24,78,76,59,2,330,64,355,77,57,17.014183675514957
24,72,69,46,1,323,56,322,77,43,17.014183675514957
23,67,57,34,2,293,45,306,69,29,17.686711568872166
22,82,83,72,2,378,83,389,82,69,17.858561825798823
22,80,76,81,2,341,81,375,80,81,17.399029496420383
22,67,57,43,1,306,64,345,68,35,16.300417207752275
21,74,69,60,1,337,69,340,77,53,15.761420707019587
22,81,75,76,1,356,79,366,83,76,17.385043254445645
22,81,70,74,1,307,73,335,81,76,16.883563493097892
20,79,73,68,1,288,67,324,77,67,15.687312734865866
22,80,72,72,1,298,74,330,79,75,16.972510979114386
20,73,69,55,1,310,64,321,75,48,16.166885815127753
22,78,72,63,1,335,73,342,81,61,16.523560759066484
19,72,69,66,1,330,72,333,70,59,15.424948470398375
19,79,68,67,1,273,63,287,79,71,16.300417207752275
20,64,58,30,1,282,35,280,67,26,15.404745763080856
18,74,65,68,1,269,77,315,70,63,15.068273526459642
19,74,66,54,1,300,59,295,77,54,15.29711509888849
18,76,50,62,1,221,63,316,72,66,14.845129975145433
19,72,70,64,1,342,67,324,73,70,15.29711509888849
17,59,59,60,1,221,57,316,57,63,14.077874822431765
36,87,90,88,5,188,68,284,46,13,16.25785759333348
30,80,83,71,4,395,82,393,85,63,17.831893578716663
32,70,69,37,2,298,54,325,78,32,16.811242831518264
28,76,71,51,2,335,55,334,83,53,17.356469882001587
28,74,62,80,3,350,83,395,78,83,17.24949776244942
28,79,77,77,3,390,85,422,79,74,17.281246460764002
28,77,78,69,3,404,81,391,81,63,17.676240269004868
26,87,83,78,3,374,79,362,86,77,17.565014633894645
29,80,81,74,3,385,80,395,83,69,17.399029496420383
24,70,61,56,1,306,64,321,74,58,15.89495209964411
30,86,83,74,2,403,83,400,86,66,17.654962870557586
25,85,75,82,2,374,85,391,84,84,17.84975119611667
25,83,81,67,2,379,69,365,85,66,17.553180176247643
27,78,77,64,1,365,69,385,76,63,17.45309671769066
24,80,74,76,1,133,56,251,37,14,16.733281290048552
25,79,74,76,3,406,84,413,84,73,17.676240269004868
27,67,57,41,3,302,50,332,70,42,17.717483227538917
25,83,80,73,2,348,65,333,83,75,17.296750647299966
23,80,73,72,1,299,72,340,79,74,16.61887093887081
24,88,74,84,2,119,56,247,34,10,18.099097119824904
23,80,79,75,2,368,80,396,82,75,17.795192211866237
24,81,74,70,1,328,69,350,80,71,16.588099280204055
22,87,81,78,3,352,82,338,90,80,18.02763815584276
24,73,69,46,1,328,41,306,72,48,16.972510979114386
24,80,76,72,2,358,77,385,81,69,16.811242831518264
25,68,66,39,3,313,74,345,74,29,18.49300140553199
22,68,63,71,1,331,77,392,66,73,15.096444403426338
22,81,75,71,1,337,76,311,81,70,16.64872390202049
21,82,69,69,1,312,73,326,82,68,16.972510979114386
20,71,56,74,1,295,77,379,75,79,16.523560759066484
19,77,70,65,1,319,77,364,78,63,15.687312734865866
21,76,69,65,1,318,68,301,77,67,15.03928598958639
19,52,49,27,1,236,39,291,62,23,15.068273526459642
18,69,57,66,1,254,70,281,67,65,14.403297222866392
19,77,68,68,1,276,66,305,78,73,16.11809565095832
20,67,61,47,1,290,53,333,69,42,15.27412558066379
18,71,65,52,1,325,62,322,73,48,15.341566861459324
20,73,64,66,1,266,64,340,72,70,15.687312734865866
20,70,62,66,1,265,69,313,70,69,14.557447902693651
20,63,65,33,1,270,55,299,64,25,15.150511624696614
20,73,63,67,1,295,66,320,72,68,14.978661367769956
22,76,70,63,1,337,68,338,77,60,16.835935444108635
17,74,65,61,1,323,72,296,72,58,14.978661367769956
19,71,67,44,1,305,58,311,73,37,15.60727002719233
18,68,66,48,1,310,56,286,69,46,14.77102200299171
17,65,54,57,1,231,55,265,61,60,13.997832114758229
19,81,68,62,1,259,63,256,78,63,16.11809565095832
22,79,63,72,1,298,74,325,77,75,15.520258650202699
18,68,64,39,1,297,43,265,70,38,14.946912669455374
19,66,63,57,1,305,68,331,68,54,14.73180128983843
16,73,56,59,1,249,62,255,71,61,14.73180128983843
17,74,67,57,1,315,62,309,72,53,14.914122846632385
18,66,49,66,1,264,66,337,68,71,15.123843377614453
37,81,84,70,4,353,67,275,87,69,15.520258650202699
32,75,70,59,2,343,69,344,75,55,16.489659207390805
33,78,73,83,3,332,82,373,80,85,16.785925023533974
31,90,86,72,3,399,75,369,92,68,17.831893578716663
32,79,83,82,4,370,78,382,83,85,17.576710673657836
26,82,70,80,3,332,85,382,83,78,17.41282281855272
25,88,73,73,2,278,82,376,83,72,17.24949776244942
26,75,76,65,2,361,75,377,79,62,17.034386382832476
24,76,69,75,1,275,78,371,76,76,16.213405830762646
25,78,75,60,2,352,79,377,77,52,17.111347423968603
26,81,72,68,1,383,74,392,82,66,17.341871082580436
24,82,73,77,3,303,79,356,81,78,17.182806387950748
25,88,75,82,2,356,84,399,87,83,17.795192211866237
23,83,70,78,2,317,85,378,83,78,16.99356438831222
23,86,69,77,2,107,52,244,10,6,17.054189010128656
24,66,59,46,3,308,51,326,68,48,17.717483227538917
22,70,67,63,1,293,70,309,70,63,14.77102200299171
24,84,79,77,2,384,77,387,85,78,17.47907220409392
24,81,76,69,2,362,69,340,81,67,16.523560759066484
24,79,66,76,1,271,82,352,78,75,16.11809565095832
24,65,61,59,1,337,61,371,69,60,15.60727002719233
22,79,75,72,1,326,74,348,78,73,16.300417207752275
22,76,65,69,1,270,71,303,75,74,15.761420707019587
22,78,68,56,1,322,65,368,74,50,16.99356438831222
24,68,66,53,1,327,72,346,69,47,16.811242831518264
22,70,60,39,1,315,40,272,70,36,16.25785759333348
22,76,71,57,1,349,59,336,79,56,16.811242831518264
21,73,67,46,1,292,55,287,72,43,15.687312734865866
21,78,67,74,1,326,76,370,76,76,16.34123920227253
23,84,70,74,1,281,79,356,81,74,17.1296965626368
22,76,67,49,1,304,63,322,74,42,16.588099280204055
24,74,72,64,1,360,74,378,77,60,17.111347423968603
21,70,59,72,1,309,78,385,72,73,15.60727002719233
22,74,70,62,1,317,80,371,74,54,16.523560759066484
22,81,68,78,2,310,77,331,83,80,17.399029496420383
19,78,63,69,1,264,71,303,76,71,15.520258650202699
18,76,64,69,1,260,70,317,76,72,15.520258650202699
20,76,60,75,1,283,76,359,76,80,16.61887093887081
21,59,53,43,1,291,62,319,58,42,15.687312734865866
21,69,62,70,1,296,73,362,69,69,15.150511624696614
17,71,63,64,1,258,64,326,70,67,14.77102200299171
20,76,59,70,1,259,74,344,79,74,15.226497531674536
19,71,52,64,1,241,65,350,69,67,14.880221294956703
19,70,59,61,1,98,44,172,11,7,14.403297222866392
17,70,62,43,1,291,42,255,69,40,14.346138809026444
20,62,59,46,1,292,64,341,65,37,15.096444403426338
21,75,74,62,1,336,62,319,75,63,16.588099280204055
19,73,62,66,1,247,65,294,70,68,14.914122846632385
17,54,46,37,1,229,40,278,61,39,14.346138809026444
19,77,70,63,1,225,66,297,80,58,15.150511624696614
16,65,61,49,1,270,61,262,64,44,13.997832114758229
17,75,56,58,1,255,64,294,74,60,14.73180128983843
19,71,62,68,1,279,66,323,69,72,15.424948470398375
31,78,78,68,3,359,74,329,83,61,15.341566861459324
30,84,80,77,4,341,77,325,85,74,16.835935444108635
31,77,82,75,2,362,76,381,79,74,16.25785759333348
30,90,87,85,4,171,65,267,30,14,17.926384422137584
31,87,83,78,4,298,78,315,88,77,17.034386382832476
29,91,87,61,3,406,60,312,92,60,18.165788494323575
34,64,64,50,3,305,75,359,72,37,16.11809565095832
31,89,81,81,3,328,82,352,90,80,17.610999747136468
28,80,80,80,3,375,84,388,83,78,17.054189010128656
27,77,86,73,2,370,81,380,81,70,17.1296965626368
27,80,76,70,1,337,74,331,79,69,16.733281290048552
28,87,82,69,3,367,78,369,88,61,17.23323724157764
28,86,81,77,3,353,79,350,87,75,17.41282281855272
27,67,56,40,2,276,63,342,75,30,17.14771506813948
28,69,72,50,3,332,68,345,78,45,17.982175781766
26,71,56,75,1,293,78,384,73,78,15.687312734865866
27,82,74,73,1,295,79,357,85,74,16.523560759066484
28,78,74,67,2,351,72,390,79,66,17.312018119430753
26,71,70,54,3,340,62,349,76,53,17.588271496058912
26,82,72,76,3,338,76,348,80,77,17.14771506813948
24,78,80,70,2,365,79,392,83,62,17.50439001207821
25,80,70,82,1,338,81,404,80,83,17.16541464523888
27,82,82,80,3,382,83,429,87,82,18.09217667698033
26,80,76,70,2,359,80,363,80,68,17.341871082580436
25,81,75,77,1,319,74,357,81,80,17.034386382832476
24,72,68,49,2,333,67,367,74,40,16.972510979114386
24,71,62,39,2,300,58,318,74,34,16.929025867174648
25,83,83,66,2,371,78,361,85,58,17.014183675514957
26,73,70,48,2,301,75,360,75,38,17.26549810379586
26,62,54,45,2,306,51,344,76,48,17.327055996795295
24,58,62,36,2,307,51,309,67,31,17.49181122987135
23,76,79,72,1,127,59,233,33,12,15.761420707019587
24,83,72,67,3,317,73,302,79,64,16.489659207390805
23,77,78,70,1,301,70,308,77,69,16.61887093887081
25,68,61,29,1,295,44,284,71,22,17.09265529095645
23,80,78,68,1,365,73,368,80,68,17.14771506813948
23,84,75,80,2,328,82,388,83,80,17.111347423968603
22,83,74,73,2,350,79,340,85,73,17.385043254445645
27,87,71,76,2,133,53,230,28,12,17.054189010128656
22,80,73,73,2,318,73,325,79,76,16.929025867174648
20,75,71,64,1,328,70,351,74,60,15.424948470398375
21,73,64,66,1,282,65,302,71,70,15.341566861459324
21,75,76,70,1,346,77,358,77,66,16.25785759333348
22,67,65,48,1,303,60,357,67,44,16.489659207390805
22,79,77,56,1,326,60,288,82,49,16.523560759066484
